Rank,Coin Name,Symbol,Price,1H Change,24H Change,7D Change,Market Cap,24H Volume
CoinMarketCap 20 Index DTF,CMC20,Buy,0.03% 1.17% 3.94%,"$10,555,580","$951,451",7.36K,81.73K CMC20,N/A
1,Bitcoin,BTC,"$64,324.00",0.26% 1.26% 3.76%,"$1,289,210,493,864","$17,339,122,788",269.52K,20.04M BTC
2,Ethereum,ETH,"$1,676.04",0.28% 0.77% 4.32%,"$202,272,490,189","$6,009,013,576",3.58M,120.68M ETH
3,Tether,USDT,$0.9994,0.01% 0.00% 0.03%,"$186,474,939,135","$42,301,740,468",42.32B,186.57B USDT
4,BNB,BNB,$609.26,0.01% 1.54% 4.53%,"$82,118,937,198","$779,280,563",1.27M,134.78M BNB
5,USDC,USDC,$0.9997,0.00% 0.01% 0.01%,"$74,854,298,082","$4,800,499,972",4.80B,74.87B USDC
6,XRP,XRP,$1.14,0.38% 1.32% 2.36%,"$71,221,253,671","$926,154,772",806.94M,62.05B XRP
7,Solana,SOL,$68.46,0.54% 2.52% 6.81%,"$39,699,822,436","$1,467,211,768",21.42M,579.82M SOL
8,TRON,TRX,$0.3158,0.09% 0.13% 2.71%,"$29,948,700,161","$363,245,536",1.15B,94.82B TRX
9,Hyperliquid,HYPE,$60.07,0.66% 4.10% 0.92%,"$15,228,318,072","$475,481,908",7.91M,253.5M HYPE
